IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,6.16,,,3.96,,8.94,6.2 [4.0-8.9],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,6.93,,,3.77,,11.39,6.9 [3.8-11.4],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2021,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.83,,,2.7,,7.9,4.8 [2.7-7.9],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,5.37,,,3.59,,7.59,5.4 [3.6-7.6],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2021,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,5.81,,,3.3,,9.18,5.8 [3.3-9.2],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2021,false,Sex,Male,SEX_MLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.87,,,3.24,,9.59,5.9 [3.2-9.6],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,6.62,,,4.43,,9.32,6.6 [4.4-9.3],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2021,false,Sex,Female,SEX_FMLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,7.22,,,4.11,,11.34,7.2 [4.1-11.3],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2021,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,3.98,,,2.22,,6.55,4.0 [2.2-6.6],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.51,,,3.01,,6.44,4.5 [3.0-6.4],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2021,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.99,,,2.82,,7.95,5.0 [2.8-8.0],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2021,false,Sex,Male,SEX_MLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.15,,,2.88,,8.35,5.1 [2.9-8.3],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.94,,,3.98,,8.37,5.9 [4.0-8.4],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2021,false,Sex,Female,SEX_FMLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,6.63,,,3.79,,10.4,6.6 [3.8-10.4],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2020,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.73,,,2.76,,7.48,4.7 [2.8-7.5],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,5.19,,,3.58,,7.11,5.2 [3.6-7.1],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2020,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,5.57,,,3.28,,8.56,5.6 [3.3-8.6],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2020,false,Sex,Male,SEX_MLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.75,,,3.31,,9.07,5.7 [3.3-9.1],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,6.41,,,4.43,,8.83,6.4 [4.4-8.8],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2020,false,Sex,Female,SEX_FMLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,6.94,,,4.12,,10.6,6.9 [4.1-10.6],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2020,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,3.87,,,2.26,,6.15,3.9 [2.3-6.2],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.33,,,2.99,,5.96,4.3 [3.0-6.0],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2020,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.75,,,2.79,,7.37,4.8 [2.8-7.4],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2020,false,Sex,Male,SEX_MLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.02,,,2.96,,7.9,5.0 [3.0-7.9],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.73,,,3.98,,7.83,5.7 [4.0-7.8],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2020,false,Sex,Female,SEX_FMLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,6.34,,,3.81,,9.69,6.3 [3.8-9.7],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.63,,,2.77,,7.14,4.6 [2.8-7.1],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,5.03,,,3.55,,6.75,5.0 [3.6-6.7],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,5.34,,,3.26,,8,5.3 [3.3-8.0],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,false,Sex,Male,SEX_MLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.64,,,3.34,,8.67,5.6 [3.3-8.7],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,false,Sex,Both sexes,SEX_BTSX,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,6.22,,,4.39,,8.37,6.2 [4.4-8.4],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,false,Sex,Female,SEX_FMLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,6.68,,,4.1,,9.96,6.7 [4.1-10.0],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,3.76,,,2.26,,5.82,3.8 [2.3-5.8],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.16,,,2.94,,5.6,4.2 [2.9-5.6],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.52,,,2.74,,6.83,4.5 [2.7-6.8],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,false,Sex,Male,SEX_MLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,4.91,,,2.95,,7.51,4.9 [3.0-7.5],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,false,Sex,Both sexes,SEX_BTSX,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.54,,,3.94,,7.43,5.5 [3.9-7.4],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,false,Sex,Female,SEX_FMLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,6.08,,,3.74,,9.05,6.1 [3.7-9.0],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2018,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.53,,,2.79,,6.83,4.5 [2.8-6.8],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2018,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.87,,,3.51,,6.48,4.9 [3.5-6.5],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2018,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,5.13,,,3.23,,7.56,5.1 [3.2-7.6],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2018,false,Sex,Male,SEX_MLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.54,,,3.35,,8.33,5.5 [3.4-8.3],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2018,false,Sex,Both sexes,SEX_BTSX,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,6.04,,,4.35,,8.08,6.0 [4.3-8.1],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2018,false,Sex,Female,SEX_FMLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,6.44,,,4.06,,9.45,6.4 [4.1-9.4],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2018,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,3.66,,,2.25,,5.56,3.7 [2.2-5.6],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2018,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4,,,2.88,,5.32,4.0 [2.9-5.3],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2018,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.31,,,2.7,,6.39,4.3 [2.7-6.4],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2018,false,Sex,Male,SEX_MLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,4.81,,,2.96,,7.2,4.8 [3.0-7.2],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2018,false,Sex,Both sexes,SEX_BTSX,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.37,,,3.9,,7.13,5.4 [3.9-7.1],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2018,false,Sex,Female,SEX_FMLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.84,,,3.7,,8.54,5.8 [3.7-8.5],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2017,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.45,,,2.78,,6.62,4.4 [2.8-6.6],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2017,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.73,,,3.45,,6.27,4.7 [3.5-6.3],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2017,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.95,,,3.17,,7.18,4.9 [3.2-7.2],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2017,false,Sex,Male,SEX_MLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.44,,,3.34,,8.14,5.4 [3.3-8.1],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2017,false,Sex,Both sexes,SEX_BTSX,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.88,,,4.27,,7.81,5.9 [4.3-7.8],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2017,false,Sex,Female,SEX_FMLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,6.22,,,3.98,,9.03,6.2 [4.0-9.0],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2017,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,3.56,,,2.21,,5.38,3.6 [2.2-5.4],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2017,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,3.86,,,2.81,,5.1,3.9 [2.8-5.1],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2017,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.12,,,2.62,,6.04,4.1 [2.6-6.0],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2017,false,Sex,Male,SEX_MLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,4.73,,,2.96,,6.96,4.7 [3.0-7.0],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2017,false,Sex,Both sexes,SEX_BTSX,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.21,,,3.82,,6.87,5.2 [3.8-6.9],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2017,false,Sex,Female,SEX_FMLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.62,,,3.63,,8.17,5.6 [3.6-8.2],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2016,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.37,,,2.73,,6.47,4.4 [2.7-6.5],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2016,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.6,,,3.36,,6.09,4.6 [3.4-6.1],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2016,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.77,,,3.07,,6.95,4.8 [3.1-6.9],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2016,false,Sex,Male,SEX_MLE,Age Group,30+ years of age,AGEGROUP_YEARS30-PLUS,,,,,,,5.36,,,3.31,,7.98,5.4 [3.3-8.0],,,EN,2024-11-12T23:00:00.000Z
